	LQ2.141729	IT2.141720	HI3.141676	MD2.141689	RT1.141654	CA1.141704	PE6.141700	PE5.141692	CM1.141723	CO1.141714	BZ1.141724	AR1.141727	HI4.141735	AR2.141703	SN3.141650	PE7.141734	SV2.141666	CF2.141679	MD3.141707	JT1.141699	HF2.141686	HI2.141672	PE1.141715	SP2.141678	CL1.141697	BF1.141647	TL1.141653	MP1.141661	SF2.141677	MD5.141688	CO2.141657	MT2.141698	KP1.141713	HF1.141663	CO3.141651	CL3.141664	SV1.141649	SF1.141728	TL3.141709	PE4.141683	GB1.141665	CF3.141691	BP1.141702	SB1.141730	KP3.141658	SR2.141673	SK3.141716	PE2.141725	CR1.141682	CA2.141685	BB2.141659	GB3.141652	HJ1.141718	CF1.141675	SN1.141681	GB5.141668	LQ3.141712	DF2.141726	MT1.141719	SA1.141670	SP1.141656	HJ2.141717	SA2.141687	SK2.141662	GB2.141732	IE1.141648	IE2.141655	IT1.141711	CL4.141667	DF1.141684	BF2.141708	RT2.141710	DF3.141696	SR3.141674	KP4.141733	MP2.141695	VC2.141694	PE3.141731	CC1.141721	VC1.141722	TL2.141706	CL2.141671	AR3.141705	SK1.141669	SR1.141680
LQ2.141729	0.0	0.723039646297	0.756696077015	0.831198835356	0.801364390066	0.793282585342	0.591312363616	0.572663968452	0.802692886134	0.778797095838	0.749872494332	0.747204902287	0.613822801345	0.774719857313	0.779699522556	0.71528021824	0.84010902362	0.696601322201	0.836797787924	0.840113341843	0.683696796872	0.756287086284	0.622223776745	0.703253788545	0.686963360294	0.628883402411	0.756370770202	0.666465921371	0.830704961039	0.828153541511	0.739395145554	0.776626395849	0.806778882169	0.632749468847	0.767797780597	0.726049942061	0.842753215799	0.831909602128	0.699119903608	0.685040393147	0.833010118596	0.699998943926	0.794368702359	0.829321767385	0.80755007253	0.827431669559	0.687013448416	0.667185229813	0.81457497914	0.798099445329	0.6779368134	0.759422129069	0.697475454886	0.647531220803	0.729991906706	0.839627822542	0.597856861025	0.785921428915	0.840688658003	0.82035576964	0.788055765718	0.707908895698	0.832734466298	0.796418422655	0.825946121273	0.731276190706	0.725238875038	0.758238046384	0.735488255279	0.699752895747	0.655156835148	0.807657549608	0.661299141539	0.820934786385	0.784412394633	0.650485115326	0.73015374192	0.63559888238	0.757341133802	0.7627474126	0.808565414315	0.764943279767	0.756183270432	0.719838989714	0.807233334817
IT2.141720	0.723039646297	0.0	0.671363270971	0.788914407157	0.75629091355	0.7147070223	0.719998591623	0.767547592236	0.766445162907	0.654914935055	0.638757033828	0.72656245156	0.725101989837	0.716642332129	0.676352127138	0.701217780476	0.808739945897	0.808349272059	0.798326277532	0.819963710265	0.762863076432	0.691231183535	0.717154493678	0.677662035746	0.634249068152	0.717221210623	0.739855910424	0.658376756333	0.795771846867	0.826941261567	0.624129789486	0.624773058888	0.704516551543	0.72954087356	0.710789935814	0.645371015394	0.797450811191	0.750320491928	0.703699808317	0.798871651233	0.737365013296	0.79390447665	0.707562429131	0.73435449053	0.753437836299	0.747945157213	0.622514692092	0.784188812843	0.762349443109	0.732898285936	0.72952456852	0.707860231033	0.699560999939	0.749791294132	0.731706225695	0.79545560266	0.762300982068	0.688331002804	0.716923084678	0.712159577787	0.687541313658	0.610577033825	0.755945465691	0.707144315974	0.749347953687	0.614292909832	0.568253557649	0.57310614659	0.685352652258	0.61897940897	0.712465796648	0.744500390764	0.640423221565	0.742424876239	0.710651591862	0.649870844308	0.658197529229	0.767830773421	0.65931192857	0.632164326968	0.688279236531	0.692804720053	0.715163965744	0.644856199646	0.713638500155
HI3.141676	0.756696077015	0.671363270971	0.0	0.775075471511	0.682030784792	0.726232182652	0.748684230364	0.820637866787	0.711212522885	0.684930015489	0.737716549885	0.67727509088	0.771864975509	0.665077007467	0.743089869184	0.714082233017	0.77433551635	0.850213419804	0.786145500309	0.787119853761	0.810528712934	0.660415469296	0.792190665214	0.753201904691	0.671815954463	0.768995051914	0.814602385901	0.730964240011	0.75364438072	0.809503632017	0.709367843661	0.678229487741	0.682954637197	0.789150304013	0.736357316111	0.712600145064	0.788745262793	0.745701517477	0.781525582808	0.841498137311	0.720378065458	0.852418099007	0.674750439452	0.741595035792	0.657702917763	0.732463050653	0.721031304798	0.812101232582	0.721498297807	0.709540319905	0.780773027491	0.676107183464	0.746868004695	0.79027194954	0.789746594847	0.737384469213	0.782934765474	0.651208268096	0.684691208854	0.714355291396	0.701369999507	0.704283159276	0.737772058064	0.71696276741	0.716501338956	0.649300222897	0.661454726	0.640883404035	0.676947320161	0.703659600698	0.796437796244	0.702690671913	0.749901269953	0.732309832683	0.678249386694	0.764064864742	0.639879734242	0.808913834684	0.674284512686	0.690134347306	0.713741984469	0.669848337668	0.67475805292	0.751121051923	0.677718706402
MD2.141689	0.831198835356	0.788914407157	0.775075471511	0.0	0.704023784528	0.660236852469	0.829014371125	0.850661740156	0.712567811458	0.737411992325	0.786706806381	0.785161005612	0.839164389329	0.786860758821	0.702736007833	0.803596436327	0.592199901224	0.883454410356	0.617411545827	0.582798292487	0.829436952663	0.751285240055	0.831250231132	0.771958688829	0.770495760678	0.806290959894	0.837794341259	0.807223189447	0.57845115168	0.610018049304	0.770383791694	0.777060421727	0.750908566868	0.810609003867	0.681380784246	0.784629983818	0.585888661706	0.651758821679	0.783857451456	0.877989875114	0.682460411007	0.875063133578	0.702193253852	0.66073284126	0.723882105573	0.597906525346	0.785849742438	0.858587801122	0.731648757401	0.653100264061	0.827034518001	0.768921305939	0.834888852097	0.820098101036	0.767143982733	0.591216597626	0.824461718235	0.767215590762	0.786086358925	0.701593641375	0.705718728045	0.760828617572	0.705806791691	0.810202012743	0.690885088907	0.791214107749	0.749532341106	0.768376438342	0.769314128832	0.80529492152	0.843398458688	0.737125027136	0.80746878839	0.664523578989	0.779152056321	0.788654107573	0.723874956402	0.86190925973	0.779503462863	0.768746985786	0.795729738468	0.771645989526	0.769110099617	0.778995804289	0.667297387312
RT1.141654	0.801364390066	0.75629091355	0.682030784792	0.704023784528	0.0	0.686718540031	0.803091552531	0.843397076842	0.577240410231	0.74471966592	0.804310329576	0.716768078832	0.821641684772	0.702055694058	0.761809167879	0.722631720961	0.708355372742	0.888145300025	0.784864878831	0.774356238115	0.85851685319	0.722377099672	0.825196241181	0.798213985023	0.722110818225	0.826424644135	0.84377927189	0.810340042243	0.674053823284	0.773024352269	0.771361321006	0.762856890823	0.675881617047	0.800757143691	0.731199074597	0.747806278506	0.728316615831	0.676296860589	0.833177921337	0.88178198654	0.728157009651	0.887500834927	0.668428875963	0.690711812162	0.596036255562	0.680839620346	0.790956491325	0.852326583273	0.592698277101	0.662836764491	0.823507816741	0.719418419212	0.818434784676	0.825905393453	0.815981206929	0.68145705671	0.820407136942	0.713559481642	0.723109229019	0.750607537575	0.738328089248	0.753923760256	0.708261851287	0.774591131756	0.665560625564	0.758072627675	0.739131524777	0.7327081408	0.756303790397	0.782981032722	0.845581931448	0.585841190213	0.814896525133	0.727387377891	0.701228940102	0.799018304824	0.72043786128	0.836940607857	0.741012567358	0.772125389618	0.754848073258	0.746206423739	0.690140884748	0.819319292607	0.686245744681
CA1.141704	0.793282585342	0.7147070223	0.726232182652	0.660236852469	0.686718540031	0.0	0.780883062419	0.82709056756	0.66866950965	0.691625959639	0.779932377632	0.750332821041	0.798502981249	0.719415656317	0.71269181357	0.726526207594	0.665378635501	0.86584613645	0.736303934878	0.71026218613	0.829139619313	0.724614826303	0.801763730826	0.757977510662	0.725673303477	0.807116740418	0.797262119247	0.769230079735	0.626660191222	0.752278022133	0.7034498017	0.709931568605	0.640013844092	0.798387084346	0.652977465391	0.725520741546	0.692304356642	0.617671439758	0.788139132491	0.859179965517	0.638702643817	0.862165474137	0.596079781077	0.655155312199	0.668567812938	0.650563963643	0.749908395003	0.852566114257	0.653265252552	0.601838327448	0.802389712955	0.669676321723	0.792679848207	0.810433008043	0.749139405387	0.661715894353	0.806597052447	0.687139412738	0.697583893769	0.674467014152	0.676309588125	0.710343995863	0.635162771596	0.728337494571	0.660393096427	0.763072086117	0.689660542426	0.705880609972	0.727831240967	0.774175286969	0.802919534427	0.674914196517	0.774566855553	0.645811074418	0.718729161478	0.776304022772	0.680187159241	0.820654106683	0.710644001674	0.722684833746	0.74385016394	0.738115405727	0.703358424634	0.750596658711	0.638393444863
PE6.141700	0.591312363616	0.719998591623	0.748684230364	0.829014371125	0.803091552531	0.780883062419	0.0	0.598432863152	0.801569193563	0.766293080257	0.742289774705	0.728572988472	0.615135257351	0.761692831807	0.766766577539	0.703433603024	0.848989301664	0.714057437058	0.818344106589	0.821754978549	0.664372200033	0.741644386707	0.663517212054	0.713857192816	0.672557374531	0.655143761114	0.752513298904	0.654302723353	0.822569771071	0.831308731816	0.738965448732	0.7610641488	0.785304314232	0.683237839122	0.755791553826	0.698307154077	0.837473013174	0.818120712642	0.69926435486	0.676337900062	0.835541515595	0.67440415749	0.784127805975	0.830693103684	0.798515769364	0.839751292019	0.723200506836	0.706328205251	0.816231683357	0.809390124287	0.63712489635	0.763476448697	0.685194708258	0.668268952048	0.746162875025	0.835334571318	0.619863061429	0.789463719922	0.826307383825	0.79409561739	0.787201441648	0.688510055914	0.821054349262	0.784152408229	0.818693264565	0.725595129455	0.72308728669	0.766631748739	0.70681476683	0.678067768581	0.645537627364	0.788125677359	0.667218478081	0.813338994525	0.803235429579	0.639936546216	0.742428959235	0.607946953641	0.765169017916	0.756773005365	0.79864919968	0.726107022158	0.726867127838	0.720415519154	0.811413099281
PE5.141692	0.572663968452	0.767547592236	0.820637866787	0.850661740156	0.843397076842	0.82709056756	0.598432863152	0.0	0.825447921859	0.810146579052	0.751985399897	0.803268162759	0.6687389258	0.817359106836	0.802218414138	0.761747037348	0.869578611571	0.665503901157	0.859987288435	0.8753916847	0.65795570722	0.782777379591	0.620376408005	0.719384025793	0.720812381177	0.650307428103	0.743835169319	0.664751697695	0.858885961346	0.852079977924	0.764324033272	0.79858977046	0.830368716946	0.652129548132	0.78852650611	0.74312795562	0.855568604294	0.852920919681	0.676776830648	0.598675154706	0.855635658606	0.640298558607	0.822624614313	0.860702023133	0.8421611208	0.851231997921	0.719206725358	0.639480968823	0.850790383901	0.839913796504	0.684351859224	0.805265338287	0.683762064963	0.681701746995	0.750121052999	0.86194757393	0.615369961758	0.838744947944	0.854146013074	0.837211892154	0.833410694118	0.715794128614	0.857370366865	0.829708915761	0.863528028441	0.77603150189	0.769728715905	0.813264336713	0.761160119223	0.73130473971	0.655389749654	0.833356390394	0.66193741456	0.850362156674	0.828116916672	0.637922067125	0.786663366701	0.596795459018	0.811642032704	0.780699687311	0.821674469219	0.799292359708	0.787250641516	0.705742672009	0.832152417376
CM1.141723	0.802692886134	0.766445162907	0.711212522885	0.712567811458	0.577240410231	0.66866950965	0.801569193563	0.825447921859	0.0	0.738512569908	0.791951837529	0.694463692049	0.815964968258	0.687484185056	0.758104147961	0.728810814122	0.715273856498	0.875226650411	0.765782648743	0.778026744009	0.837866277885	0.730724821509	0.815097569004	0.771294628899	0.715164827149	0.820493102562	0.843820819055	0.790088010197	0.672244393476	0.751993143057	0.77412949567	0.740225678773	0.657595183518	0.78692228629	0.698096251419	0.756707380877	0.724893236898	0.672968321024	0.813760624864	0.877915605054	0.69379139366	0.882384791671	0.629866272013	0.690639890452	0.595605402672	0.666410733535	0.772885801696	0.839439818879	0.546365844493	0.674942870796	0.797426762143	0.699925199853	0.798450488732	0.835098615934	0.812179116536	0.680841899126	0.810648044522	0.704414614467	0.729888687026	0.737345106329	0.719549408249	0.744124740684	0.704174329896	0.772502718202	0.671532352614	0.756017275883	0.732442434298	0.749223386955	0.76103060954	0.79321414731	0.838561198826	0.546137897814	0.802958711546	0.714463943125	0.673924727297	0.785512437104	0.711794373651	0.837841855724	0.741119349903	0.756606689431	0.726956240234	0.726836054053	0.662575327588	0.786686772008	0.643316913844
CO1.141714	0.778797095838	0.654914935055	0.684930015489	0.737411992325	0.74471966592	0.691625959639	0.766293080257	0.810146579052	0.738512569908	0.0	0.702184439252	0.745165676963	0.772984863527	0.720841690903	0.646925828916	0.763548135075	0.756630888885	0.831414332067	0.759312842225	0.749299726073	0.784266272224	0.707926346376	0.787506716326	0.692145556268	0.702686968241	0.730933541468	0.781622450186	0.724743324117	0.73734523473	0.771126714786	0.668498759447	0.6470843924	0.684968851426	0.771824886597	0.695737327682	0.700205049504	0.762329339033	0.723712206474	0.724032843013	0.827755068667	0.690300965853	0.837831607357	0.663793604179	0.7059833653	0.73356075678	0.739761472888	0.666515339802	0.820201111481	0.747014715965	0.718247786368	0.769163342194	0.699803773848	0.741805164644	0.78124342887	0.723403116115	0.739827962918	0.790200270291	0.715489007898	0.727734956186	0.684201241838	0.687834775482	0.663303314538	0.735653341365	0.682970760621	0.709312907476	0.656531416134	0.632812094092	0.650538712109	0.698917638593	0.666311481351	0.79781722921	0.738757449497	0.737138077044	0.708853428725	0.712891128061	0.722531909733	0.623196774415	0.793849654656	0.663859129752	0.63498439395	0.722846678254	0.678723343945	0.729323581751	0.678453205482	0.671035341402
